class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
0,11.65,106.33334,8,5,2,2,2,3,210,47,1,1,1,1.1633,15.01148
0,9.99167,107.58334,13,4,1,2,1,3,330,12,15,2,4,4.06668,353.93149
0,10.71667,107.33334,3,4,5,1,3,2,330,12,9,3,5,15.29468,172.52318
0,10.54167,107.91666,13,4,1,2,1,3,330,20,16,2,4,12.07976,295.04352
0,10.53333,106.58334,3,10,4,1,4,4,430,12,1,1,1,5.34676,252.22099
0,11.01667,109.66666,13,4,1,2,1,3,310,47,9,2,4,5.46217,183.97525
0,11.2,105.66666,8,5,2,2,2,3,710,1,1,1,1,1.99724,27.22593
0,10.74167,102.16666,13,4,1,2,1,3,240,12,1,1,1,6.28014,295.9332
0,7.11667,118.33334,13,1,1,2,1,1,310,60,6,3,5,21.99553,1066.70874
0,8.6,109.66666,13,2,1,1,1,2,320,33,14,3,6,11.97974,740.4361
0,7.15,115.5,13,1,1,2,1,1,310,63,9,3,6,18.60196,1079.64331
0,10.03333,105.91666,13,4,1,2,1,2,320,9,4,3,5,19.78974,390.23965
0,11.03333,108.91666,13,4,1,2,1,3,320,66,14,2,3,8.96989,83.65247
0,10.375,107.25,13,4,1,2,1,2,320,66,4,3,6,12.3052,164.96753
0,9.93333,106.66666,10,5,3,1,2,3,320,7,15,3,5,22.29638,391.33807
0,9.825,110.5,9,4,3,1,2,2,310,56,9,3,6,12.16186,246.97841
0,10.49167,104.83334,13,4,1,2,1,2,320,7,15,3,5,9.7588,238.09796
0,10.90833,106.66666,9,1,3,1,2,2,220,12,1,1,1,4.62938,126.71458
0,11.78333,109.08334,3,10,7,1,4,4,310,12,1,1,1,0.5265,20.77208
0,9.38333,109.41666,13,1,1,2,1,1,310,43,6,3,6,24.47619,469.71683
0,11.86667,108.16666,3,10,7,1,4,4,320,66,1,1,1,0.064,9.39875
0,8.175,110,13,4,1,1,1,2,310,68,4,3,6,29.81445,641.80383
0,10.90833,107.08334,13,4,1,2,1,2,330,19,9,3,5,15.49323,169.97377
0,11.00833,97.66666,7,4,4,1,2,4,320,12,9,2,4,9.58323,241.01288
0,11.13333,105.16666,3,10,7,1,3,4,150,19,1,1,1,13.65205,76.51364
0,11.05833,106,8,4,2,2,1,3,330,12,9,4,7,6.87428,147.77147
0,9.6,105.33334,13,4,1,2,1,3,310,63,6,3,5,15.02337,623.33167
0,10.49167,99.75,13,1,1,2,1,1,320,12,4,3,6,14.9859,373.95343
0,10.05833,104.58334,13,4,1,2,1,3,320,18,15,2,4,15.18989,331.39447
0,9.78333,107.58334,13,4,1,2,1,3,320,53,15,3,5,6.53494,222.53629
0,11.15833,98.08334,7,4,4,1,2,4,330,12,9,2,4,2.22093,230.21884
0,9.60833,106.33334,13,4,1,1,1,1,320,47,15,2,4,2.02164,407.46295
0,8.175,112.5,8,5,2,1,2,3,430,12,8,1,1,9.02027,787.8963
0,10.69167,107.5,7,4,4,1,2,4,330,47,4,4,7,9.28815,121.18087
0,8.95,109.16666,13,4,1,2,1,2,310,33,4,3,6,20.1047,625.33374
0,10.44167,109.75,9,4,3,1,2,2,310,47,6,3,6,28.17568,309.99347
0,10.58333,107,7,4,4,1,2,4,330,65,16,2,4,10.5273,303.1145
0,11.8,109.25,7,1,7,1,2,4,110,47,1,1,1,0.10044,16.94906
0,9.79167,105.58334,13,1,1,2,1,1,330,18,15,2,4,23.40392,405.46207
0,10.14167,108.25,13,4,1,2,1,3,330,12,15,2,3,13.71315,215.7005
0,10.19167,110.83334,13,4,1,2,1,3,310,47,6,3,6,22.76559,243.90823
0,11.23333,107.83334,3,10,4,1,4,4,320,56,16,3,5,3.13971,65.78901
0,9.23333,108.41666,13,2,1,2,1,2,330,33,9,3,6,24.53738,564.13159
0,10.5,108.83334,3,10,4,1,4,4,140,47,7,1,1,15.96449,219.6261
0,7.5,113.16666,13,2,1,1,1,2,320,5,4,3,6,7.89887,904.67456
0,10.61667,106.75,999,999,999,999,999,999,320,42,6,3,6,21.8978,134.51111
0,9.96667,107.66666,999,999,999,999,999,999,210,66,1,1,1,7.65459,137.72449
0,8.11667,111.33334,13,3,1,1,1,2,220,50,9,2,4,17.92372,674.32556
0,9.79167,103.75,10,8,3,1,3,2,220,12,1,1,1,7.71582,473.15027
0,10.55,105.83334,3,10,4,1,4,4,320,12,4,3,5,8.08606,192.75198
0,10.25833,107.66666,13,4,1,2,1,2,320,47,14,4,7,17.92544,237.77478
0,10.74167,109.66666,13,4,1,2,1,3,320,52,16,2,3,16.19097,180.46225
0,11.19167,110.08334,8,1,2,2,1,1,110,12,1,1,1,13.16414,180.53047
0,11.025,107.83334,13,4,1,2,1,3,210,12,1,1,1,2.58314,106.8985
0,11,107.83334,13,4,1,3,1,3,320,12,9,3,5,11.94683,135.63194
0,7.2,111.83334,13,7,1,1,2,3,330,12,9,4,7,16.26477,841.21967
0,10.21667,108.16666,13,4,1,2,1,2,310,66,6,3,6,11.46795,224.13965
0,11.23333,107.33334,2,11,6,1,3,4,210,66,1,1,1,0.73317,81.5608
0,8.46667,108.58334,13,4,1,2,2,2,320,63,9,3,6,25.50167,580.20673
0,10.28333,106.83334,13,5,1,2,2,3,210,65,1,1,1,5.60647,128.16948
0,11.33333,111.25,13,4,1,2,1,3,220,12,4,4,7,11.57754,199.63902
0,10.025,110.41666,13,1,1,2,1,1,310,47,6,3,5,23.35527,343.63239
0,9.75833,107.66666,13,2,1,1,1,2,320,7,15,3,5,24.35133,589.29779
0,11.35,107.5,4,10,7,1,6,2,320,12,1,1,1,5.4543,60.14465
0,11.28333,105.58334,4,10,7,1,6,2,210,66,1,1,1,0.21184,84.13207
0,9.075,109,13,4,1,2,1,3,310,18,6,3,7,9.49784,555.38171
0,11.025,105.58334,7,4,4,1,2,4,320,36,15,3,6,13.46437,174.92857
0,10.125,104.91666,13,4,1,2,1,2,320,47,14,3,5,7.92803,209.25706
0,10.44167,107.83334,9,4,3,1,2,2,320,47,1,1,1,15.37359,213.19579
0,10.4,100.08334,7,4,4,1,2,4,320,12,4,3,5,2.77188,386.38599
0,11.4,105.83334,13,9,1,1,2,3,620,7,1,1,1,2.1415,124.87982
0,9.98333,104.58334,13,4,1,2,2,2,620,63,1,1,1,1.26752,284.42328
