Name,xcoord,ycoord
Salix koreensis Andersson,277320.598899999633431,468259.357000000774860
Salix koreensis Andersson,198972.488599999807775,476297.653699999675155
Salix koreensis Andersson,223962.617200000211596,473459.589600000530481
Salix koreensis Andersson,223962.617200000211596,473459.589600000530481
Salix koreensis Andersson,234824.495400000363588,464219.323400000110269
Salix koreensis Andersson,235980.428899999707937,472330.672900000587106
Salix koreensis Andersson,252787.059299999848008,485901.722699999809265
Salix koreensis Andersson,247257.811300000175834,468181.446100000292063
Salix koreensis Andersson,225301.204599999822676,551731.088899999856949
Salix koreensis Andersson,243599.984299999661744,553710.157899999991059
Salix koreensis Andersson,225490.709900000132620,564430.935100000351667
Salix koreensis Andersson,250663.099700000137091,550379.708699999377131
Salix koreensis Andersson,274234.282999999821186,544842.908800000324845
Salix koreensis Andersson,283356.087899999693036,556968.494200000539422
Salix koreensis Andersson,283990.683299999684095,555830.938699999824166
Salix koreensis Andersson,259768.494800000451505,560751.513599999248981
Salix koreensis Andersson,204739.001899999566376,538220.859400000423193
Salix koreensis Andersson,216433.445000000298023,539508.659800000488758
Salix koreensis Andersson,218190.742800000123680,539732.741699999198318
Salix koreensis Andersson,201813.463800000026822,526370.831000000238419
Salix koreensis Andersson,202497.062300000339746,525508.723799999803305
Salix koreensis Andersson,218541.451299999840558,530545.399499999359250
Salix koreensis Andersson,249719.301900000311434,538778.393799999728799
Salix koreensis Andersson,249719.301900000311434,538778.393799999728799
Salix koreensis Andersson,249719.301900000311434,538778.393799999728799
Salix koreensis Andersson,250176.644000000320375,539491.479299999773502
Salix koreensis Andersson,250176.644000000320375,539491.479299999773502
Salix koreensis Andersson,250176.644000000320375,539491.479299999773502
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,259111.080599999986589,535524.993100000545382
Salix koreensis Andersson,253936.044599999673665,520911.960899999365211
Salix koreensis Andersson,253936.044599999673665,520911.960899999365211
Salix koreensis Andersson,253936.044599999673665,520911.960899999365211
Salix koreensis Andersson,251824.539699999615550,521252.270199999213219
Salix koreensis Andersson,251824.539699999615550,521252.270199999213219
Salix koreensis Andersson,251824.539699999615550,521252.270199999213219
Salix koreensis Andersson,274401.742800000123680,538136.405799999833107
Salix koreensis Andersson,274401.742800000123680,538136.405799999833107
Salix koreensis Andersson,281385.590499999932945,542503.523099999874830
Salix koreensis Andersson,283432.848399999551475,518748.580000000074506
Salix koreensis Andersson,283432.848399999551475,518748.580000000074506
Salix koreensis Andersson,341560.791799999773502,561934.899199999868870
Salix koreensis Andersson,345341.270700000226498,561250.313599999994040
Salix koreensis Andersson,367192.165300000458956,566080.138000000268221
Salix koreensis Andersson,288963.232400000095367,529192.563599999994040
Salix koreensis Andersson,288963.232400000095367,529192.563599999994040
Salix koreensis Andersson,325820.347799999639392,526520.887800000607967
Salix koreensis Andersson,249245.274199999868870,504954.947799999266863
Salix koreensis Andersson,235674.678500000387430,491094.636399999260902
Salix koreensis Andersson,250680.010499999858439,494533.949300000444055
Salix koreensis Andersson,250089.555399999953806,505210.564600000157952
