X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
328673.6266999999,571149.8967000004,train,0.010689518886939912,98.50844796395195,0.9999999999998364
339559.2549999999,541286.5306000002,train,9.756401243011657E-4,74.65694969659467,0.9319207568122752
257516.31489999965,554080.7105999999,train,3.2696255943140043E-4,50.3440581353549,0.5936383950264478
249808.6239,551811.5988999996,train,0.008444747744547912,96.57120260432198,0.9999999999207415
330320.07600000035,570064.3838,train,0.0017474112591663112,84.60314167453652,0.9918739075200906
236658.8613,536698.1486000009,train,0.004093736390457933,92.09454054001574,0.9999873121202213
256724.4899000004,536744.3197000008,train,0.001451569963404149,81.50999123945373,0.9816454287442369
274401.7428000001,538136.4057999998,train,8.603436815170776E-5,17.000425506549885,0.21097213484178756
274827.5906999996,519393.8482000008,train,1.5850469376725847E-4,30.32310403876625,0.3537375230640102
341560.7917999998,561934.8991999999,train,5.0438413716637284E-5,9.150103319257228,0.1296990263709723
348878.9605999999,560739.7902000006,train,2.442310664423248E-4,42.106065346018624,0.4896481632638924
314673.7692,526955.3318000007,train,3.483709321116688E-4,51.8857562784413,0.616905755922174
359157.39329999965,512662.07919999957,train,0.002007341489189845,85.65641911785595,0.996028328531373
296754.75540000014,494806.90479999967,train,0.002349132000989237,87.43216140203629,0.9984506485823169
230586.75200000033,472885.42610000074,train,2.2256379849096275E-4,39.43401477300527,0.4582656265852554
223980.61459999997,552145.7309000008,train,6.333324704413548E-4,67.0062515918064,0.8252341121080856
257948.7433000002,533841.5079999994,train,3.472890563557593E-4,51.75775882989792,0.6157625574947306
241197.19849999994,528233.2783000004,train,0.001697409973803892,83.85864245462332,0.9906741283933562
223676.5418999996,542595.5107000005,train,5.580258816386443E-5,10.241744093328622,0.1424622277272437
203712.7547000004,535965.1697000004,train,1.478679078386314E-4,28.516593326830375,0.3345248516889008
196460.2717000004,538123.1512000002,train,1.7390088820900046E-4,32.66150765704916,0.380568618895635
240245.7023,506131.91410000063,train,2.3743797265355295E-4,41.13763047208062,0.4800099234514186
240435.97580000013,506430.5951000005,train,3.8405294923907836E-4,54.37107269337103,0.6527633506481687
216885.60639999993,529325.3697999995,train,3.1302665098036726E-4,49.14599704107512,0.5777382695542862
216550.10470000003,494916.53800000064,train,8.17086430695821E-5,15.985143663028534,0.20151559433349875
217171.94079999998,511807.1897,train,0.0012568202113182622,79.36285680501584,0.9686174058948989
224710.15280000027,511914.12680000067,train,0.002837100390191385,88.7476396083402,0.9995959083502923
232217.13709999993,496076.4461000003,train,1.1478413257196685E-4,22.99641910583798,0.27103933264219227
357623.9157999996,513969.0131999999,train,0.0010356614884713172,76.33018442737355,0.9422938893444373
353792.0641000001,512762.12319999933,train,6.223566668956777E-4,66.58741316389495,0.8198704038650555
320975.50829999987,501035.7923000008,train,0.0010730431889080275,76.9920367653248,0.9479394556919144
321115.34520000033,503476.3439000007,train,2.1920533505350579E-4,38.97686465972666,0.4532314488227943
303313.65020000003,516134.80739999935,train,4.641688818150442E-4,59.08986641328112,0.7215180362122985
301226.6309000002,517251.5100999996,train,4.27225858367374E-4,57.19304961033621,0.6916915264335173
318599.09449999966,521620.92080000043,train,0.0010484691134245755,76.53148731731689,0.9442939565572335
316521.608,526185.8708999995,train,7.423440842708307E-5,14.22456172397768,0.18490816934104248
261535.9252000004,467748.35339999944,train,5.343333563063968E-4,63.008576080759305,0.7704529300909532
262692.37370000035,468827.4430999998,train,0.003441405973887811,90.94633803448632,0.9999235009113323
317006.2326999996,534435.7320000008,train,0.008682844816752341,97.43949197589382,0.9999999999588611
317905.1009999998,532749.8439000007,train,0.003698753809292392,91.68517459000853,0.9999623437838054
333859.1431999998,533768.9232000001,train,8.027609482516843E-4,70.78817563172656,0.8904028091365691
355684.5581,550670.4299999997,train,0.0061903463609586,94.28947718018966,0.9999999605918256
347489.8300000001,557531.5722000003,train,0.014915587017305713,99.99999541789104,1.0
348543.8496000003,551424.8831999991,train,1.9416082550701225E-4,35.83118777696753,0.4141858832877995
341870.47979999986,561837.8036000002,train,5.000708079888092E-4,61.259795353133164,0.7477367627519808
341942.1964999996,570937.6901999991,train,7.313565295635901E-5,14.014647382449493,0.18243783182499818
369060.92530000024,507281.60449999943,train,0.0012449813179297336,79.28445772616575,0.9675772678381585
