Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.27284E-5,15.50595977,0.255294824,0.289198606,0.044444444,0
8.37839E-5,15.755662726,0.25809026,0.286212046,0.044444444,0
8.48454E-5,16.000426608,0.260890981,0.283325037,0.044444444,0
8.61252E-5,16.257203092,0.264253849,0.280338477,0.044444444,0
8.72147E-5,16.500072891,0.267104241,0.27755102,0.044444444,0
8.87107E-5,16.755294623,0.271000437,0.274664012,0.044444444,0
8.97334E-5,17.005345915,0.273652232,0.271876556,0.044444444,0
9.15012E-5,17.250099619,0.278212845,0.269188651,0.044444444,0
9.28666E-5,17.508021588,0.28171583,0.266401195,0.066666667,0
9.43646E-5,17.75148436,0.285539332,0.263812842,0.066666667,0
9.57985E-5,18.00830795,0.289180284,0.261124938,0.066666667,0
9.77025E-5,18.259657817,0.293986299,0.258536585,0.066666667,0
9.88078E-5,18.505403915,0.29676122,0.256047785,0.066666667,0
9.98875E-5,18.753617109,0.299461435,0.253558985,0.066666667,0
1.01438E-4,19.00543046,0.303320835,0.251070184,0.088888889,0
1.02685E-4,19.25034759,0.306409642,0.248680936,0.088888889,0
1.04145E-4,19.508855673,0.310009046,0.246192135,0.088888889,0
1.06125E-4,19.750868945,0.314859251,0.243902439,0.111111111,0
1.08067E-4,20.007712653,0.319584409,0.241513191,0.111111111,0
1.0974E-4,20.258268198,0.323628546,0.239223494,0.111111111,0
1.11351E-4,20.501630629,0.327499619,0.23703335,0.111111111,0
1.12582E-4,20.758943052,0.33044161,0.234743654,0.111111111,0
1.13631E-4,21.007726286,0.332939464,0.232553509,0.111111111,0
1.15272E-4,21.259894772,0.336828855,0.230363365,0.111111111,0
1.16259E-4,21.503058262,0.339156799,0.228272773,0.111111111,0
1.17618E-4,21.760539305,0.342347913,0.226082628,0.111111111,0
1.19417E-4,22.009682281,0.346550644,0.223992036,0.111111111,0
1.20649E-4,22.261579533,0.349414309,0.221901444,0.111111111,0
1.21736E-4,22.504089443,0.351928405,0.219910403,0.111111111,0
1.23384E-4,22.761595746,0.35572127,0.217819811,0.111111111,0
1.24931E-4,23.010150267,0.359263151,0.215828771,0.111111111,0
1.26178E-4,23.261660333,0.362105372,0.21383773,0.111111111,0
1.27856E-4,23.503375321,0.365906238,0.211946242,0.111111111,0
1.29248E-4,23.760502319,0.369045258,0.209955202,0.111111111,0
1.30618E-4,24.007385816,0.372115693,0.208063713,0.111111111,0
1.31899E-4,24.256932038,0.374974993,0.206172225,0.111111111,0
1.33757E-4,24.509400752,0.379100742,0.204280737,0.133333333,0
1.35457E-4,24.751722388,0.38284977,0.2024888,0.133333333,0
1.3785E-4,25.012037718,0.38809037,0.200597312,0.155555556,0
1.39574E-4,25.261599598,0.391836922,0.198805376,0.155555556,0
1.40689E-4,25.514040961,0.394247806,0.19701344,0.155555556,0
1.4161E-4,25.754139133,0.396231786,0.195321055,0.155555556,0
1.43071E-4,26.010300841,0.399368019,0.193529119,0.155555556,0
1.44478E-4,26.254809084,0.402370016,0.191836735,0.155555556,0
1.46054E-4,26.501830129,0.405717297,0.19014435,0.155555556,0
1.47734E-4,26.751644056,0.409265168,0.188451966,0.155555556,0
1.4929E-4,27.004152214,0.412530092,0.186759582,0.177777778,0
1.5145E-4,27.260021361,0.417034116,0.185067198,0.177777778,0
1.52306E-4,27.503128546,0.418809461,0.183474365,0.2,0
1.53324E-4,27.762952727,0.420912811,0.181781981,0.2,0
1.54789E-4,28.009547931,0.423929201,0.180189149,0.2,0
1.56138E-4,28.258318716,0.426691772,0.178596317,0.2,0
1.58093E-4,28.509857175,0.430669827,0.177003484,0.2,0
1.59559E-4,28.763813521,0.433637688,0.175410652,0.2,0
1.60867E-4,29.004213409,0.436270114,0.173917372,0.2,0
1.62496E-4,29.262844396,0.439533242,0.17232454,0.2,0
1.64336E-4,29.508074986,0.443195985,0.170831259,0.2,0
1.65945E-4,29.755844776,0.446378444,0.169337979,0.2,0
1.6745E-4,30.006048484,0.449338055,0.167844699,0.2,0
1.69197E-4,30.2586815,0.452755123,0.166351419,0.2,0
1.70533E-4,30.513538365,0.455355452,0.164858138,0.2,0
1.71535E-4,30.752848127,0.457294849,0.16346441,0.2,0
1.73225E-4,31.01152405,0.460553857,0.16197113,0.2,0
1.74712E-4,31.255181648,0.46340447,0.160577402,0.2,0
1.75752E-4,31.500547163,0.465388278,0.159183673,0.2,0
1.78589E-4,31.766699194,0.470766077,0.157690393,0.2,0
1.80177E-4,32.017583271,0.473752728,0.156296665,0.2,0
1.80783E-4,32.252208956,0.474887897,0.155002489,0.2,0
1.82375E-4,32.506426019,0.477856845,0.153608761,0.2,0
1.83976E-4,32.762854812,0.48082679,0.152215032,0.2,0
1.85527E-4,33.003169425,0.483689076,0.150920856,0.2,0
1.87412E-4,33.263905393,0.487145187,0.149527128,0.2,0
1.89216E-4,33.508982551,0.490430487,0.148232952,0.2,0
1.9102E-4,33.75598975,0.493695172,0.146938776,0.222222222,0
1.9245E-4,34.005312623,0.49626877,0.145644599,0.222222222,0
1.93747E-4,34.256348394,0.498590575,0.144350423,0.222222222,0
1.94675E-4,34.508940864,0.500246089,0.143056247,0.222222222,0
1.95928E-4,34.762684821,0.502472618,0.141762071,0.222222222,0
1.98452E-4,35.019308181,0.50692641,0.140467894,0.222222222,0
1.99769E-4,35.258396195,0.509234626,0.13927327,0.244444444,0
2.00629E-4,35.518758328,0.510736914,0.137979094,0.244444444,0
2.01431E-4,35.760116322,0.512133526,0.13678447,0.244444444,0
2.0329E-4,36.002981876,0.515354593,0.135589846,0.244444444,0
2.05561E-4,36.268535836,0.519259589,0.134295669,0.244444444,0
2.07479E-4,36.516356724,0.522533502,0.133101045,0.266666667,0
2.09874E-4,36.766703358,0.526591676,0.131906421,0.266666667,0
2.11783E-4,37.019624835,0.529799425,0.130711797,0.266666667,0
2.13558E-4,37.253772355,0.532763729,0.129616725,0.266666667,0
2.15873E-4,37.511187411,0.536602753,0.128422101,0.266666667,0
2.17571E-4,37.77140635,0.539397124,0.127227476,0.266666667,0
2.19146E-4,38.011507639,0.541974691,0.126132404,0.266666667,0
2.20386E-4,38.253315775,0.543995266,0.125037332,0.266666667,0
2.22033E-4,38.518919556,0.546662725,0.123842708,0.266666667,0
2.23497E-4,38.764020963,0.549020842,0.122747636,0.266666667,0
2.25828E-4,39.011367062,0.552751684,0.121652563,0.266666667,0
2.27588E-4,39.260975999,0.555546976,0.120557491,0.266666667,0
2.29877E-4,39.512546965,0.559157041,0.119462419,0.266666667,0
2.31365E-4,39.766004966,0.561489078,0.118367347,0.266666667,0
2.329E-4,40.021251545,0.563879795,0.117272275,0.266666667,0
2.35283E-4,40.255264913,0.5675675,0.116276755,0.266666667,0
2.39041E-4,40.516388259,0.573319995,0.115181682,0.266666667,0
2.40031E-4,40.756038804,0.574821191,0.114186162,0.266666667,0
2.41399E-4,41.020916587,0.576889591,0.11309109,0.288888889,0
2.42439E-4,41.263041498,0.578453764,0.11209557,0.288888889,0
2.44188E-4,41.506235137,0.581073093,0.11110005,0.288888889,0
2.46218E-4,41.751617593,0.584092259,0.11010453,0.311111111,0
2.47918E-4,42.02337485,0.586603789,0.109009457,0.311111111,0
2.49801E-4,42.272592604,0.589367569,0.108013937,0.311111111,0
2.51408E-4,42.523152089,0.591712844,0.107018417,0.311111111,0
2.53406E-4,42.75061852,0.594609251,0.106122449,0.311111111,0
2.55151E-4,43.004635281,0.597121684,0.105126929,0.311111111,0
2.56831E-4,43.26058958,0.599525632,0.104131409,0.311111111,0
2.5909E-4,43.518352155,0.602737006,0.103135889,0.311111111,0
2.60222E-4,43.752134932,0.604335589,0.10223992,0.311111111,0
2.6196E-4,44.013266013,0.606778427,0.1012444,0.311111111,0
2.63179E-4,44.275805782,0.608482293,0.10024888,0.311111111,0
2.64962E-4,44.513520109,0.610961419,0.099352912,0.311111111,0
2.65953E-4,44.752442513,0.612333715,0.098456944,0.311111111,0
2.68018E-4,45.019483736,0.615174335,0.097461424,0.311111111,0
2.69725E-4,45.261547123,0.617508027,0.096565455,0.311111111,0
2.70911E-4,45.504947425,0.619121236,0.095669487,0.311111111,0
2.72863E-4,45.777195687,0.621761401,0.094673967,0.311111111,0
2.73685E-4,46.023181214,0.622867349,0.093777999,0.311111111,0
2.75586E-4,46.270446888,0.625413056,0.092882031,0.311111111,0
2.78526E-4,46.519984283,0.629317031,0.091986063,0.311111111,0
2.80094E-4,46.771286301,0.631381273,0.091090095,0.311111111,0
2.82132E-4,47.024734491,0.634048345,0.090194126,0.311111111,0
2.8436E-4,47.251295234,0.636942262,0.08939771,0.311111111,0
2.86701E-4,47.508457606,0.639957995,0.088501742,0.311111111,0
2.8852E-4,47.767409644,0.642284384,0.087605774,0.311111111,0
2.89722E-4,48.027577199,0.643812983,0.086709806,0.311111111,0
2.91371E-4,48.260270828,0.6459,0.08591339,0.311111111,0
2.9302E-4,48.523372731,0.647973845,0.085017422,0.311111111,0
2.95306E-4,48.758719375,0.650829109,0.084221005,0.311111111,0
2.97752E-4,49.025174898,0.653859556,0.083325037,0.333333333,0
2.98972E-4,49.263942582,0.655360611,0.082528621,0.333333333,0
3.00616E-4,49.503761804,0.65737384,0.081732205,0.333333333,0
3.02895E-4,49.775512328,0.660144932,0.080836237,0.333333333,0
3.04887E-4,50.018857943,0.662548913,0.080039821,0.333333333,0
3.07388E-4,50.263873159,0.665541631,0.079243405,0.333333333,0
3.08666E-4,50.510377233,0.667061138,0.078446989,0.333333333,0
3.10927E-4,50.758347902,0.669733526,0.077650572,0.333333333,0
3.14218E-4,51.008575347,0.673583722,0.076854156,0.333333333,0
3.16107E-4,51.26091635,0.675772418,0.07605774,0.333333333,0
3.17587E-4,51.514408528,0.677477483,0.075261324,0.333333333,0
3.21044E-4,51.770456919,0.681426709,0.074464908,0.333333333,0
3.23768E-4,52.028420785,0.684503424,0.073668492,0.333333333,0
3.2528E-4,52.255679278,0.686198061,0.072971628,0.333333333,0
3.27715E-4,52.51681844,0.688909519,0.072175212,0.355555556,0
3.31553E-4,52.780635449,0.693134596,0.071378795,0.355555556,0
3.33384E-4,53.013560719,0.695129492,0.070681931,0.355555556,0
3.35326E-4,53.28102543,0.69723252,0.069885515,0.355555556,0
3.3785E-4,53.516891334,0.699942665,0.069188651,0.355555556,0
3.39904E-4,53.754304056,0.70213054,0.068491787,0.355555556,0
3.41112E-4,54.02675954,0.703410603,0.067695371,0.355555556,0
3.43994E-4,54.266910637,0.706440504,0.066998507,0.355555556,0
3.46629E-4,54.508797014,0.709183281,0.066301643,0.355555556,0
3.4916E-4,54.75230423,0.711794793,0.065604778,0.355555556,0
3.51172E-4,55.032372932,0.713852632,0.064808362,0.355555556,0
3.53941E-4,55.279439686,0.716661881,0.064111498,0.377777778,0
3.5602E-4,55.527882734,0.718753361,0.063414634,0.377777778,0
3.59094E-4,55.778613232,0.72181694,0.06271777,0.377777778,0
3.60232E-4,56.030485228,0.722942843,0.062020906,0.377777778,0
3.62699E-4,56.283616931,0.72536756,0.061324042,0.377777778,0
3.655E-4,56.502509696,0.728095144,0.06072673,0.377777778,0
3.6825E-4,56.759427616,0.730746111,0.060029866,0.377777778,0
3.70838E-4,57.0181456,0.733217774,0.059333001,0.377777778,0
