X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
225375.55989999976,564507.6488000005,train,6.043930341394412E-4,73.51985397407145,0.8839220686246965
242460.25409999955,554687.9504000004,train,5.056319878913065E-4,67.46030332984614,0.8349655709223665
224277.39749999996,552156.5175000001,train,5.777038684491955E-4,72.05966943820718,0.8723417079963814
239564.45540000033,564035.7078000009,train,1.3667971471366185E-4,24.884731742025384,0.3855324265897435
250663.09970000014,550379.7086999994,train,0.002548814541047097,97.37590463411473,0.9998862604735167
274106.3976999996,545162.7410000004,train,9.161078016735554E-5,17.270799144800268,0.27849461780783624
249561.8404000001,537644.1121999994,train,1.052369045275857E-4,19.642317989885168,0.31268752412403145
259718.8786000004,535676.6938000005,train,0.001001597715534721,85.07823667144162,0.971809233642412
253667.49230000004,522227.0031000003,train,1.5224373246624725E-4,27.48544433472953,0.4186805087243657
262352.8997999998,523984.04539999925,train,2.4418810321806983E-4,41.506247613799744,0.5810730933263624
266063.2326999996,525392.8013000004,train,4.997007105498538E-4,67.27578906820797,0.8314406930624167
314523.98139999993,534023.2587000001,train,6.705372302694268E-4,75.40745511942976,0.9082942100115778
314673.7692,526955.3318000007,train,3.911611197181086E-5,6.937792917429946,0.130096825860885
325820.34779999964,526520.8878000006,train,0.0010089785195690527,85.27972311501811,0.9725409395815421
249622.9157999996,505327.11429999955,train,3.5240112766985544E-4,55.14204305971498,0.7151034616887985
251154.62069999985,494752.9168999996,train,1.4894957373941457E-4,26.94890773585395,0.4118171809948272
225823.40919999965,480002.91479999945,train,0.002813819164508662,98.43819436535358,0.9999557576940366
351620.91220000014,482165.91530000046,train,1.856370798003422E-5,2.7681665185495414,0.06400369880765433
220750.81969999988,546477.4952000007,train,4.6297651225274004E-4,64.92974794849167,0.8078764846473528
223398.9963999996,547208.1696000006,train,0.003074256528472621,99.0336301261813,0.9999825083182887
226811.48340000026,552417.1282000002,train,2.4064437110431894E-4,40.87480223840662,0.5757499524520691
243470.15189999994,553373.0309999995,train,0.0011808160381326753,87.76124463240319,0.9851139070742352
200706.49980000034,555125.0210999995,train,7.721880909327678E-4,78.87833427991086,0.9361589380844496
208812.57120000012,562050.2127999999,train,9.618819957848381E-4,84.29278646746178,0.9675239043217946
208036.43290000036,562511.6046999991,train,4.2459046522382303E-4,61.72064418243744,0.7797175534472364
222329.68340000045,563593.4526000004,train,4.861435423197618E-4,66.4584617774546,0.8230985548602233
206034.41009999998,567340.2126000002,train,0.0016832850258357455,93.54263254870365,0.9975154383751955
236032.9433000004,567939.4667000007,train,0.0024998036520947225,97.12100252408739,0.9998645584597762
234772.4241000004,543041.4111000001,train,4.716402220846582E-4,65.5256406031563,0.8137166154900977
249464.1216000002,505092.76579999924,train,5.721974607313439E-4,71.7641253027465,0.8698123585252316
223676.5418999996,542595.5107000005,train,1.3189858182032608E-4,24.256850574176624,0.37497499292256165
225025.7748999996,542457.6377000008,train,1.898118515851436E-4,33.59056771234481,0.49151142822683
225236.83100000024,529528.2931999993,train,0.002578344448140762,97.63377439618655,0.9998976197409679
240262.06269999966,506389.1422000006,train,0.002880142737621625,98.72621430754046,0.9999650693007407
202819.37310000043,523898.32880000025,train,1.0022950804030035E-4,18.809161895002564,0.3003146568081628
276186.86099999957,509944.42200000025,train,3.8577132122399833E-4,58.26967181370066,0.7470414044385003
222026.41370000038,527348.8420000002,train,3.25970909216739E-4,52.32977515228226,0.6869700862646189
216526.43719999958,494888.1298999991,train,2.957509057867682E-4,48.80718528019176,0.6513827258485454
216931.0588999996,512525.00349999964,train,2.0609068886785157E-4,36.336975859772,0.5201660357124527
249267.43659999967,471006.7221000008,train,8.018220444293161E-4,79.705448438636,0.9425561013988666
320593.2884999998,502823.4581000004,train,5.58363637058448E-4,70.55704709673093,0.8632345164065002
318599.09449999966,521620.92080000043,train,6.398382864082495E-4,74.51913197579253,0.8976940388083445
316521.608,526185.8708999995,train,9.275757176620678E-4,82.84520349205278,0.9633013524248202
261041.87799999956,469167.2257000003,train,4.516498223131351E-4,64.03395950903298,0.799964221907024
261475.05399999954,467973.5778000001,train,1.991947562344686E-4,35.154148054185434,0.5082301544921368
