X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
277320.59889999963,468259.3570000008,train,5.112369952605855E-5,11.002483427169539,0.23595368254316995
198972.4885999998,476297.6536999997,train,3.7326690710775607E-4,75.41525229938593,0.8598388594313179
223962.6172000002,473459.58960000053,train,2.9535487933803555E-4,67.15098280678131,0.7887717022224394
234824.49540000036,464219.3234000001,train,1.1383046165085991E-4,29.67106969157911,0.45076541222954414
235980.4288999997,472330.6729000006,train,1.3698355829297207E-4,36.37756587040475,0.5137891170659763
252787.05929999985,485901.7226999998,train,6.405879320966089E-4,89.07591135968175,0.9656859927251706
247257.81130000018,468181.4461000003,train,3.843340507530969E-4,76.69500949507258,0.8677713282990623
225301.20459999982,551731.0888999999,train,3.1178991961730156E-4,69.31740547565137,0.8062784708216602
243599.98429999966,553710.1579,train,4.494303202217287E-5,9.282732874151762,0.21068548836099987
225490.70990000013,564430.9351000004,train,3.5137443671704713E-4,73.5284932216613,0.8427180987781475
250663.09970000014,550379.7086999994,train,3.283874779894311E-5,5.763083532818632,0.1587536120884685
274234.2829999998,544842.9088000003,train,4.949823449719256E-4,83.71974512625994,0.9261486111670817
283356.0878999997,556968.4942000005,train,6.665992446538555E-5,15.76622731509041,0.29595507724533576
283990.6832999997,555830.9386999998,train,1.9797942169692514E-4,51.126628141519795,0.6473252492498067
259768.49480000045,560751.5135999992,train,1.5695748211708984E-4,41.079405602916104,0.5623168992404648
204739.00189999957,538220.8594000004,train,6.11068350367942E-5,14.179471421683717,0.27507014401077057
216433.4450000003,539508.6598000005,train,1.26271010379114E-4,33.308774536383304,0.4855822123469278
218190.74280000012,539732.7416999992,train,8.009371235184535E-4,91.96212488279389,0.9852471133808127
201813.46380000003,526370.8310000002,train,5.93854322336667E-4,87.52927341934598,0.9561151097764747
202497.06230000034,525508.7237999998,train,0.0016787480843807826,97.03809136946323,0.999854787811494
218541.45129999984,530545.3994999994,train,2.2752589324769428E-4,56.57294031371415,0.6981268636216621
249719.3019000003,538778.3937999997,train,0.0014500621375422933,96.5022905133894,0.9995160162858507
250176.64400000032,539491.4792999998,train,1.7895636312862366E-4,46.834193185162796,0.6101788731954887
259111.0806,535524.9931000005,train,1.994922473903594E-4,51.43422008979234,0.6501227477261988
253936.04459999967,520911.96089999937,train,3.391350960479613E-5,6.068602572960088,0.16349977043611574
251824.53969999962,521252.2701999992,train,9.452385354718438E-5,24.112608434425162,0.39200901256438636
274401.7428000001,538136.4057999998,train,5.3768414997257164E-5,11.868939161261906,0.24651732573237006
281385.59049999993,542503.5230999999,train,0.003158219271253415,98.15312387492351,0.9999999397997775
