Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.12319E-7,0.000011232,0.000568285,1,0,0
1.68415E-7,0.000040936,0.000851984,0.999802176,0,0
1.72844E-7,0.000058221,0.000874381,0.999703264,0,0
2.07636E-7,0.000117436,0.001050293,0.999406528,0,0
2.97504E-7,0.000278488,0.001504531,0.998813056,0,0
3.97698E-7,0.000521503,0.002010723,0.998120673,0,0
4.89497E-7,0.001016729,0.002474275,0.997032641,0,0
6.79636E-7,0.00256469,0.003433724,0.99446093,0,0
9.09957E-7,0.005084055,0.004594701,0.991295747,0,0
1.26918E-6,0.010054118,0.006402735,0.986745796,0,0
1.78563E-6,0.025063451,0.008996329,0.977151335,0,0
2.42223E-6,0.050084286,0.012184041,0.965281899,0,0
3.26065E-6,0.10010034,0.016366719,0.947972305,0,0
4.67939E-6,0.200331877,0.023404128,0.923046489,0,0
5.71166E-6,0.300091863,0.028492873,0.903956479,0,0
6.65601E-6,0.400525474,0.033124992,0.887833828,0,0
7.51739E-6,0.500544431,0.037330841,0.87388724,0,0
8.32357E-6,0.600440705,0.041250572,0.861523244,0,0
9.10061E-6,0.700789203,0.045013542,0.850148368,0.009009009,0
9.5188E-6,0.750027807,0.047032599,0.844906034,0.009009009,0
9.92726E-6,0.800613143,0.049000578,0.839762611,0.009009009,0
1.05728E-5,0.901021094,0.052102654,0.830069238,0.009009009,0
1.13598E-5,1.00083734,0.055870373,0.821068249,0.009009009,0
1.19128E-5,1.101123305,0.058508977,0.81256182,0.018018018,0
1.25713E-5,1.200496488,0.061641507,0.804549951,0.018018018,0
1.31815E-5,1.301202798,0.064535071,0.796834817,0.018018018,0
1.38174E-5,1.401158719,0.067540602,0.789515331,0.018018018,0
1.44557E-5,1.500166792,0.070548143,0.782591494,0.018018018,0
1.58954E-5,1.751110423,0.077295859,0.766271019,0.018018018,0
1.71141E-5,2.000613385,0.082969295,0.751335312,0.018018018,0
1.84341E-5,2.251017464,0.089074967,0.737388724,0.018018018,0
1.95387E-5,2.501629173,0.094153497,0.724332344,0.018018018,0
2.07493E-5,2.751019414,0.099686361,0.71206726,0.027027027,0
2.18599E-5,3.000111881,0.104732804,0.70049456,0.027027027,0
2.3023E-5,3.251484555,0.109987202,0.689416419,0.027027027,0
2.42009E-5,3.501372494,0.115276875,0.678931751,0.036036036,0
2.52853E-5,3.751723465,0.120118989,0.668941642,0.036036036,0
2.64275E-5,4.000056993,0.1251909,0.659446093,0.036036036,0
2.74554E-5,4.250683613,0.129729699,0.65024728,0.036036036,0
2.84594E-5,4.502362091,0.134140828,0.641345203,0.036036036,0
2.94642E-5,4.75119355,0.138532826,0.632838773,0.036036036,0
3.06481E-5,5.000975686,0.143679063,0.62462908,0.036036036,0
3.1691E-5,5.250259028,0.148186818,0.616716123,0.045045045,0
3.25519E-5,5.500875747,0.151889842,0.609000989,0.045045045,0
3.35872E-5,5.752050244,0.156322192,0.60148368,0.045045045,0
3.47825E-5,6.001685756,0.161410373,0.594263106,0.045045045,0
3.58846E-5,6.252704476,0.166075144,0.587240356,0.045045045,0
3.68747E-5,6.500528897,0.170243196,0.580514342,0.045045045,0
3.77105E-5,6.750208584,0.173745764,0.57388724,0.045045045,0
3.86761E-5,7.002308682,0.177773464,0.56735905,0.045045045,0
3.98825E-5,7.253570529,0.18277853,0.561028684,0.045045045,0
4.06656E-5,7.503397649,0.186011046,0.554896142,0.054054054,0
4.15548E-5,7.754019172,0.189665715,0.548862512,0.054054054,0
4.2226E-5,8.001396295,0.192413877,0.543026706,0.054054054,0
4.30489E-5,8.253175712,0.195770083,0.5371909,0.054054054,0
4.38695E-5,8.500958998,0.199103122,0.531552918,0.054054054,0
4.49651E-5,8.75398797,0.203531684,0.525914936,0.054054054,0
4.60454E-5,9.000075964,0.207874643,0.520573689,0.063063063,0
4.67845E-5,9.250858082,0.210831906,0.515232443,0.063063063,0
4.77743E-5,9.501249692,0.214775345,0.509990109,0.063063063,0
4.85123E-5,9.751450021,0.217702677,0.504846686,0.063063063,0
4.94504E-5,10.001011774,0.221407907,0.499802176,0.063063063,0
5.03842E-5,10.250321295,0.225078865,0.494856578,0.072072072,0
5.13601E-5,10.504818423,0.228896672,0.489910979,0.072072072,0
5.24061E-5,10.754167093,0.232968154,0.485163205,0.072072072,0
5.31315E-5,11.002266334,0.23577902,0.480514342,0.081081081,0
5.40306E-5,11.254262433,0.239248649,0.47586548,0.081081081,0
5.5069E-5,11.500116244,0.243236012,0.471414441,0.081081081,0
5.62313E-5,11.75041907,0.247674493,0.466963403,0.081081081,0
5.71284E-5,12.005572738,0.2510825,0.462512364,0.081081081,0
5.79035E-5,12.252929821,0.254014424,0.458259149,0.081081081,0
5.85156E-5,12.503345274,0.256322106,0.454005935,0.081081081,0
5.95218E-5,12.751073709,0.260099486,0.449851632,0.081081081,0
6.04951E-5,13.003165504,0.263734972,0.445697329,0.081081081,0
6.13627E-5,13.2528742,0.266960732,0.441641939,0.081081081,0
6.22713E-5,13.500223666,0.27032382,0.43768546,0.081081081,0
6.32371E-5,13.751421524,0.273881874,0.433728981,0.09009009,0
6.43944E-5,14.000393843,0.278122441,0.429871414,0.099099099,0
6.50777E-5,14.252759786,0.280614459,0.426013848,0.099099099,0
6.60024E-5,14.50179421,0.283973126,0.422255193,0.099099099,0
6.68149E-5,14.754297289,0.286911697,0.418496538,0.099099099,0
6.77904E-5,15.003319819,0.290423318,0.414836795,0.099099099,0
6.84717E-5,15.25541212,0.292865835,0.411177052,0.099099099,0
6.93226E-5,15.503301689,0.295904461,0.407616222,0.099099099,0
7.03057E-5,15.755061697,0.299399055,0.404055391,0.099099099,0
7.12293E-5,16.002604003,0.302666218,0.400593472,0.099099099,0
7.19714E-5,16.253259659,0.305280359,0.397131553,0.108108108,0
7.28138E-5,16.506769419,0.30823571,0.393669634,0.108108108,0
7.35717E-5,16.755620363,0.31088412,0.390306627,0.108108108,0
7.44432E-5,17.00737557,0.313916887,0.38694362,0.108108108,0
7.53007E-5,17.254473213,0.316887919,0.383679525,0.108108108,0
7.6223E-5,17.504565312,0.320069246,0.38041543,0.108108108,0
7.72459E-5,17.750308027,0.323580095,0.377250247,0.108108108,0
